word,n_W,n_TW,P(W|T),Jaccard,PMI,Lift
喇,62,3,0.05454545454545454,0.02631578947368421,-0.5845394850192867,0.6668621700879765
由,69,3,0.05454545454545454,0.024793388429752067,-0.7388676314105805,0.5992094861660079
官兵,120,5,0.09090909090909091,0.029411764705882353,-0.8002681760747241,0.5742424242424242
縣,74,3,0.05454545454545454,0.023809523809523808,-0.8397965402613614,0.5587223587223588
事,75,3,0.05454545454545454,0.023622047244094488,-0.8591618651282924,0.5512727272727272
一等,80,3,0.05454545454545454,0.022727272727272728,-0.952271269519774,0.5168181818181818
各,81,3,0.05454545454545454,0.022556390977443608,-0.9701931775170364,0.5104377104377105
處,108,4,0.07272727272727272,0.025157232704402517,-0.9701931775170364,0.5104377104377105
黃,87,3,0.05454545454545454,0.02158273381294964,-1.0732866704811397,0.47523510971786836
下部,89,3,0.05454545454545454,0.02127659574468085,-1.1060766055988094,0.4645556690500511
即,156,5,0.09090909090909091,0.024271844660194174,-1.178779799328454,0.4417249417249417
年,126,4,0.07272727272727272,0.022598870056497175,-1.1925855988534846,0.43751803751803753
諭,217,6,0.10909090909090909,0.022556390977443608,-1.3918944070768908,0.38106409719312945
如,148,4,0.07272727272727272,0.020100502512562814,-1.424759040982518,0.3724815724815725
仍,117,3,0.05454545454545454,0.01775147928994083,-1.5007078942158163,0.35337995337995337
來,126,3,0.05454545454545454,0.016853932584269662,-1.607623098132328,0.3281385281385281
所,191,4,0.07272727272727272,0.01652892561983471,-1.7927345033893167,0.2886244645406949
朕,197,4,0.07272727272727272,0.016129032258064516,-1.8373574948099443,0.2798338717120443
從,276,5,0.09090909090909091,0.015337423312883436,-2.0019020372443745,0.24967061923583664
地方,238,4,0.07272727272727272,0.01384083044982699,-2.1101234386615113,0.23162719633307868
在,182,3,0.05454545454545454,0.01282051282051282,-2.138137814831108,0.22717282717282716
副,271,4,0.07272727272727272,0.012422360248447204,-2.2974547167074393,0.20342167058034216
請,228,3,0.05454545454545454,0.010714285714285714,-2.4632331887971533,0.1813397129186603
陞,306,4,0.07272727272727272,0.011204481792717087,-2.4726935180462193,0.18015448603683898
